,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
659,Labcitane,Extrait de Parfum,Vanilla Roses,4.5,8,Extrait de Parfum Vanilla Roses
660,Elie Saab,Le Parfum in White,,4.6,8,Le Parfum in White
661,Parfums de Marly,Delina,,5.0,8,Delina
662,Mine.,UNTAMED,,4.1,8,UNTAMED
663,Yves Saint Laurent,Black Opium Floral Shock Eau de Parfum,Floral Shock,4.3,7,Black Opium Floral Shock Eau de Parfum Floral Shock
664,Chloe,Absolu De Parfum,,4.9,7,Absolu De Parfum
665,Le Labo,Bergamote 22 Eau de Parfum,,4.7,7,Bergamote 22 Eau de Parfum
666,Fresh,Eau de parfume,Lychee,4.4,7,Eau de parfume Lychee
667,Calvin Klein,Beauty,Floral,3.5,7,Beauty Floral
668,Guerlain,Samsara,,3.57,7,Samsara
669,Taylor Swift,Enchanted Wonderstruck Woman,,4.6,7,Enchanted Wonderstruck Woman
670,Cartier,baiser vole,white floral,4.1,7,baiser vole white floral
671,BIES,Bliss of Joy EDP,,3.9,7,Bliss of Joy EDP
672,Burberry,My Burberry Black,,4.9,7,My Burberry Black
673,Chanel,Chanel Coco Noir,,4.9,7,Chanel Coco Noir
674,Prada,Paradoxe,,4.9,7,Paradoxe
675,Evangeline,Eau de Perfume Musk Series,Red Musk,4.4,7,Eau de Perfume Musk Series Red Musk
676,Mykonos,Adelina EDP,,4.7,7,Adelina EDP
677,Alchemist Fragrance,Eau De Parfum,09 Jatuh Hati,4.9,7,Eau De Parfum 09 Jatuh Hati
